Date | Time | Description | Vendor | Amount
2023-09-15 | 10:13:25 | Ergonomic keyboard | Amazon | 89.50
2023-05-15 | 11:15:00 | Oculus (Paid) | Bruce Banner | -1500.00
2024-06-17 | 12:30:15 | Laptop | Tech Emporius | 900.00
2023-04-19 | 02:34:10 | Bluetooth speaker (Paid) | Sound Innovations | -150.00
2023-08-10 | 13:17:16 | Indoor plant | Green Thumb Inc | 40.00
2023-07-22 | 15:13:45 | Wireless mouse (Paid) | Barry Allen | -30.00
2023-10-02 | 19:00:00 | Desk lamp | Bright Ideas | 55.00
2023-06-10 | 15:00:05 | Deposit | Will Smith | 100.00
2023-08-18 | 16:11:06 | Deposit | Angela Jolie | 200.00
2024-05-02 | 23:11:36 | Deposit | Denzel Washington | 55.00
2024-05-02 | 23:15:48 | Deposit | Tony Tone | 1000.00
2024-05-03 | 01:02:09 | Ipad (Paid) | T Tone | -500.00
